p1,p2,p1_cards,p1_tricks,p2_cards,p2_tricks,draw_cards,draw_tricks,games_count
000,001,50113,7434,50133,7790,0,0,2100
000,010,39495,6154,60737,9477,0,0,2100
000,011,39385,7434,63565,11451,0,0,2100
000,100,5220,1740,94793,13464,0,0,2100
000,101,42224,7434,60142,10587,0,0,2100
000,110,25257,5436,77647,13350,0,0,2100
000,111,50213,7434,49005,7377,0,0,2100
001,000,50133,7790,50113,7434,0,0,2100
001,010,72378,11996,30289,6093,0,0,2100
001,011,74038,13492,29782,6623,0,0,2100
001,100,15592,4093,85332,12624,0,0,2100
001,101,70828,13492,33621,7987,0,0,2100
001,110,52303,10823,52092,10723,0,0,2100
001,111,78044,13492,25074,5470,0,0,2100
010,000,60737,9477,39495,6154,0,0,2100
010,001,30289,6093,72378,11996,0,0,2100
010,011,52013,10696,52283,10757,0,0,2100
010,100,47293,8894,55031,9188,0,0,2100
010,101,50008,7604,49448,7503,0,0,2100
010,110,33980,8107,70237,13350,0,0,2100
010,111,60584,10696,41801,7377,0,0,2100
011,000,63565,11451,39385,7434,0,0,2100
011,001,29782,6623,74038,13492,0,0,2100
011,010,52283,10757,52013,10696,0,0,2100
011,100,51908,10751,52273,10792,0,0,2100
011,101,54914,9161,47576,8815,0,0,2100
011,110,85303,12537,15818,4161,0,0,2100
011,111,94931,13379,5319,1773,0,0,2100
100,000,94793,13464,5220,1740,0,0,2100
100,001,85332,12624,15592,4093,0,0,2100
100,010,55031,9188,47293,8894,0,0,2100
100,011,52273,10792,51908,10751,0,0,2100
100,101,52656,10868,51467,10587,0,0,2100
100,110,30104,6671,73572,13350,0,0,2100
100,111,63958,11548,38963,7377,0,0,2100
101,000,60142,10587,42224,7434,0,0,2100
101,001,33621,7987,70828,13492,0,0,2100
101,010,49448,7503,50008,7604,0,0,2100
101,011,47576,8815,54914,9161,0,0,2100
101,100,51467,10587,52656,10868,0,0,2100
101,110,30991,6107,71485,11834,0,0,2100
101,111,60877,9413,39486,6169,0,0,2100
110,000,77647,13350,25257,5436,0,0,2100
110,001,52092,10723,52303,10823,0,0,2100
110,010,70237,13350,33980,8107,0,0,2100
110,011,15818,4161,85303,12537,0,0,2100
110,100,73572,13350,30104,6671,0,0,2100
110,101,71485,11834,30991,6107,0,0,2100
110,111,49658,7754,50518,7377,0,0,2100
111,000,49005,7377,50213,7434,0,0,2100
111,001,25074,5470,78044,13492,0,0,2100
111,010,41801,7377,60584,10696,0,0,2100
111,011,5319,1773,94931,13379,0,0,2100
111,100,38963,7377,63958,11548,0,0,2100
111,101,39486,6169,60877,9413,0,0,2100
111,110,50518,7377,49658,7754,0,0,2100
