p1,p2,p1_cards,p1_cards_wins,p1_tricks,p1_tricks_wins,p2_cards,p2_cards_wins,p2_tricks,p2_tricks_wins,draw_cards,draw_tricks,games_count
000,001,119004181,2363127,17565315,2025742,119870889,2547035,18596638,2209906,99838,774352,5010000
000,010,92558261,1389542,14478117,1060859,146759099,3538930,22793831,3328794,81528,620347,5010000
000,011,93112412,881198,17565315,562693,152499517,4028597,27377939,3856525,100205,590782,5010000
000,100,12707796,66,4235932,5725,226170882,5009901,31926316,4984020,33,20255,5010000
000,101,98987142,1263320,17565315,840409,145004768,3639481,25644073,3477424,107199,692167,5010000
000,110,60021602,47083,13005799,41647,185584893,4949531,31934139,4846443,13386,121910,5010000
000,111,118323946,2433828,17565315,1630731,118281409,2432379,17560125,1627174,143793,1752095,5010000
001,000,119870889,2547035,18596638,2209906,119004181,2363127,17565315,2025742,99838,774352,5010000
001,010,170111366,4324226,28310979,4012751,74097618,620360,14746427,582116,65414,415133,5010000
001,011,175552646,4788330,31926655,4422778,71895588,179648,15967019,258820,42022,328402,5010000
001,100,37062021,9423,9715021,131303,203722300,4998162,29935820,4685827,2415,192870,5010000
001,101,167411926,4597122,31926655,3968116,81421142,342540,19368215,568018,70338,473866,5010000
001,110,124412037,2391934,25646209,2049610,124427076,2395528,25648117,2051638,222538,908752,5010000
001,111,185574061,4949792,31926655,4846184,60020059,47005,13003481,41936,13203,121880,5010000
010,000,146759099,3538930,22793831,3328794,92558261,1389542,14478117,1060859,81528,620347,5010000
010,001,74097618,620360,14746427,582116,170111366,4324226,28310979,4012751,65414,415133,5010000
010,011,124380572,2430129,25639356,2160755,124450416,2436607,25655131,2165163,143264,684082,5010000
010,100,114666250,2104484,21373571,2121786,129553054,2796768,21680122,2213890,108748,674324,5010000
010,101,118852637,2444282,18221396,2033717,118923200,2446208,18231319,2037072,119510,939211,5010000
010,110,81389448,341982,19356763,566593,167448171,4598659,31934139,3970664,69359,472743,5010000
010,111,144992777,3637737,25639356,3477768,98987590,1265085,17560125,841177,107178,691055,5010000
011,000,152499517,4028597,27377939,3856525,93112412,881198,17565315,562693,100205,590782,5010000
011,001,71895588,179648,15967019,258820,175552646,4788330,31926655,4422778,42022,328402,5010000
011,010,124450416,2436607,25655131,2165163,124380572,2430129,25639356,2160755,143264,684082,5010000
011,100,124439988,2433421,25650098,2163459,124398826,2432789,25640222,2160675,143790,685866,5010000
011,101,129579476,2797995,21691081,2216621,114624467,2103081,21371213,2120199,108924,673180,5010000
011,110,203728561,4997941,29946585,4687603,37055746,9643,9711397,130881,2416,191516,5010000
011,111,226169324,5009913,31934468,4984233,12704064,59,4234688,5653,28,20114,5010000
100,000,226170882,5009901,31926316,4984020,12707796,66,4235932,5725,33,20255,5010000
100,001,203722300,4998162,29935820,4685827,37062021,9423,9715021,131303,2415,192870,5010000
100,010,129553054,2796768,21680122,2213890,114666250,2104484,21373571,2121786,108748,674324,5010000
100,011,124398826,2432789,25640222,2160675,124439988,2433421,25650098,2163459,143790,685866,5010000
100,101,124422490,2433858,25645989,2162518,124415207,2432627,25644073,2161930,143515,685552,5010000
100,110,71864990,179614,15960907,259092,175580681,4788603,31934139,4423262,41783,327646,5010000
100,111,152498564,4027875,27373849,3855936,93103534,881518,17560125,564402,100607,589662,5010000
101,000,145004768,3639481,25644073,3477424,98987142,1263320,17565315,840409,107199,692167,5010000
101,001,81421142,342540,19368215,568018,167411926,4597122,31926655,3968116,70338,473866,5010000
101,010,118923200,2446208,18231319,2037072,118852637,2444282,18221396,2033717,119510,939211,5010000
101,011,114624467,2103081,21371213,2120199,129579476,2797995,21691081,2216621,108924,673180,5010000
101,100,124415207,2432627,25644073,2161930,124422490,2433858,25645989,2162518,143515,685552,5010000
101,110,74077577,619664,14745806,581792,170131634,4325053,28311941,4012843,65283,415365,5010000
101,111,146788268,3540147,22797308,3331035,92514122,1387931,14476125,1059770,81922,619195,5010000
110,000,185584893,4949531,31934139,4846443,60021602,47083,13005799,41647,13386,121910,5010000
110,001,124427076,2395528,25648117,2051638,124412037,2391934,25646209,2049610,222538,908752,5010000
110,010,167448171,4598659,31934139,3970664,81389448,341982,19356763,566593,69359,472743,5010000
110,011,37055746,9643,9711397,130881,203728561,4997941,29946585,4687603,2416,191516,5010000
110,100,175580681,4788603,31934139,4423262,71864990,179614,15960907,259092,41783,327646,5010000
110,101,170131634,4325053,28311941,4012843,74077577,619664,14745806,581792,65283,415365,5010000
110,111,119929538,2549499,18608871,2214190,118940438,2360367,17560125,2022209,100134,773601,5010000
111,000,118281409,2432379,17560125,1627174,118323946,2433828,17565315,1630731,143793,1752095,5010000
111,001,60020059,47005,13003481,41936,185574061,4949792,31926655,4846184,13203,121880,5010000
111,010,98987590,1265085,17560125,841177,144992777,3637737,25639356,3477768,107178,691055,5010000
111,011,12704064,59,4234688,5653,226169324,5009913,31934468,4984233,28,20114,5010000
111,100,93103534,881518,17560125,564402,152498564,4027875,27373849,3855936,100607,589662,5010000
111,101,92514122,1387931,14476125,1059770,146788268,3540147,22797308,3331035,81922,619195,5010000
111,110,118940438,2360367,17560125,2022209,119929538,2549499,18608871,2214190,100134,773601,5010000
